Gruntfile.js: line 42, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
build/public/scripts-client.js: line 138, col 193, Line is too long.
build/public/scripts-client.js: line 159, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 162, col 124, Line is too long.
build/public/scripts-client.js: line 163, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 165, col 125, Line is too long.
build/public/scripts-client.js: line 186, col 134, Line is too long.
build/public/scripts-client.js: line 186, col 11, Expected '{' and instead saw 'item'.
build/public/scripts-client.js: line 186, col 99, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 188, col 110, Line is too long.
build/public/scripts-client.js: line 188, col 11, Expected '{' and instead saw 'item'.
build/public/scripts-client.js: line 188, col 99, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 194, col 113, Line is too long.
build/public/scripts-client.js: line 197, col 11, Expected '{' and instead saw 'return'.
build/public/scripts-client.js: line 199, col 105, Line is too long.
build/public/scripts-client.js: line 200, col 105, Line is too long.
build/public/scripts-client.js: line 202, col 11, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 206, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 210, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 225, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 247, col 36, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 251, col 113, Line is too long.
build/public/scripts-client.js: line 277, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 289, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 361, col 124, Line is too long.
build/public/scripts-client.js: line 363, col 15, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 365, col 15, Expected '{' and instead saw 'self'.
build/public/scripts-client.js: line 370, col 52, 'event' is defined but never used.
build/public/scripts-client.js: line 378, col 55, 'event' is defined but never used.
build/public/scripts-client.js: line 453, col 13, 'size' is defined but never used.
build/public/scripts-client.js: line 467, col 117, Line is too long.
build/public/scripts-client.js: line 483, col 13, 'size' is defined but never used.
build/public/scripts-client.js: line 544, col 9, Expected '{' and instead saw 'elt'.
build/public/scripts-client.js: line 579, col 20, 'retVal' is already defined.
build/public/scripts-client.js: line 582, col 15, Expected '{' and instead saw 'results'.
build/public/scripts-client.js: line 581, col 15, 'retVal' used out of scope.
build/public/scripts-client.js: line 582, col 28, 'retVal' used out of scope.
build/public/scripts-client.js: line 586, col 24, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 636, col 65, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 658, col 115, Line is too long.
build/public/scripts-client.js: line 659, col 123, Line is too long.
build/public/scripts-client.js: line 660, col 119, Line is too long.
build/public/scripts-client.js: line 680, col 1, Unnecessary semicolon.
build/public/scripts-client.js: line 721, col 30, Expected '!==' and instead saw '!='.
build/public/scripts-client.js: line 739, col 1, Unnecessary semicolon.
build/public/scripts-client.js: line 773, col 104, Line is too long.
build/public/scripts-client.js: line 915, col 9, It's not necessary to initialize 'elementProperty' to 'undefined'.
build/public/scripts-client.js: line 940, col 105, Line is too long.
build/public/scripts-client.js: line 941, col 21, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 941, col 48, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 946, col 28, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 946, col 53, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 960, col 45, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 965, col 28, Expected '===' and instead saw '=='.
build/public/scripts-client.js: line 1016, col 1, Unnecessary semicolon.
build/public/scripts-client.js: line 1027, col 142, Line is too long.
build/public/scripts-client.js: line 1079, col 1, Unnecessary semicolon.
build/public/scripts-client.js: line 1079, col 2, Expected an assignment or function call and instead saw an expression.
build/public/scripts-client.js: line 1083, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
build/public/scripts-client.js: line 1091, col 12, Expected an identifier and instead saw 'default' (a reserved word).
build/public/scripts-client.js: line 1091, col 35, 'dynamic import' is only available in ES11 (use 'esversion: 11').
build/public/scripts-client.js: line 1094, col 12, Expected an identifier and instead saw 'default' (a reserved word).
build/public/scripts-client.js: line 1094, col 35, 'dynamic import' is only available in ES11 (use 'esversion: 11').
build/public/scripts-client.js: line 1097, col 12, Expected an identifier and instead saw 'default' (a reserved word).
build/public/scripts-client.js: line 1097, col 35, 'dynamic import' is only available in ES11 (use 'esversion: 11').
build/public/scripts-client.js: line 1104, col 61, 'async functions' is only available in ES8 (use 'esversion: 8').
build/public/scripts-client.js: line 1110, col 118, Line is too long.
build/public/scripts-client.js: line 1110, col 19, Expected an identifier and instead saw 'default' (a reserved word).
build/public/scripts-client.js: line 1110, col 43, 'dynamic import' is only available in ES11 (use 'esversion: 11').
build/public/scripts-client.js: line 1126, col 8, 'async functions' is only available in ES8 (use 'esversion: 8').
build/public/scripts-client.js: line 1131, col 107, Line is too long.
build/public/scripts-client.js: line 1131, col 81, 'async functions' is only available in ES8 (use 'esversion: 8').
build/public/scripts-client.js: line 1140, col 1, Unnecessary semicolon.
build/public/scripts-client.js: line 1143, col 203, Line is too long.
build/public/scripts-client.js: line 1184, col 111, Line is too long.
build/public/scripts-client.js: line 1191, col 123, Line is too long.
build/public/scripts-client.js: line 1233, col 107, Line is too long.
build/public/scripts-client.js: line 1295, col 128, Line is too long.
build/public/scripts-client.js: line 1362, col 1, Unnecessary semicolon.
build/public/scripts-client.js: line 1362, col 2, Expected an assignment or function call and instead saw an expression.
build/public/scripts-client.js: line 1378, col 103, Line is too long.
build/public/scripts-client.js: line 1498, col 106, Line is too long.
build/public/scripts-client.js: line 1530, col 115, Line is too long.
build/public/scripts-client.js: line 1531, col 23, Expected '{' and instead saw 'return'.
build/public/scripts-client.js: line 1572, col 106, Line is too long.
build/public/scripts-client.js: line 1601, col 104, Line is too long.
build/public/scripts-client.js: line 1617, col 1, Unnecessary semicolon.
build/public/scripts-client.js: line 1617, col 2, Expected an assignment or function call and instead saw an expression.
build/public/scripts-client.js: line 1696, col 107, Line is too long.
build/public/scripts-client.js: line 1707, col 1, Unnecessary semicolon.
build/public/scripts-client.js: line 1715, col 112, Line is too long.
build/public/scripts-client.js: line 713, col 1, 'jQuery' is not defined.
build/public/scripts-client.js: line 1361, col 6, 'jQuery' is not defined.
build/public/scripts-client.js: line 1036, col 13, 'config' is not defined.
build/public/scripts-client.js: line 1090, col 11, 'config' is not defined.
build/public/scripts-client.js: line 1093, col 18, 'config' is not defined.
build/public/scripts-client.js: line 1104, col 27, 'config' is not defined.
build/public/scripts-client.js: line 1628, col 9, 'config' is not defined.
build/public/scripts-client.js: line 1647, col 9, 'config' is not defined.
build/public/scripts-client.js: line 1660, col 9, 'config' is not defined.
build/public/scripts-client.js: line 1682, col 9, 'config' is not defined.
build/public/scripts-client.js: line 1118, col 5, '$' is not defined.
build/public/scripts-client.js: line 1124, col 5, '$' is not defined.
build/public/scripts-client.js: line 1131, col 5, '$' is not defined.
build/public/scripts-client.js: line 1364, col 1, '$' is not defined.
build/public/scripts-client.js: line 1371, col 3, '$' is not defined.
build/public/scripts-client.js: line 1372, col 3, '$' is not defined.
build/public/scripts-client.js: line 1389, col 10, '$' is not defined.
build/public/scripts-client.js: line 1407, col 22, '$' is not defined.
build/public/scripts-client.js: line 1431, col 13, '$' is not defined.
build/public/scripts-client.js: line 1433, col 35, '$' is not defined.
build/public/scripts-client.js: line 1459, col 7, '$' is not defined.
build/public/scripts-client.js: line 1463, col 7, '$' is not defined.
build/public/scripts-client.js: line 1482, col 7, '$' is not defined.
build/public/scripts-client.js: line 1483, col 18, '$' is not defined.
build/public/scripts-client.js: line 1495, col 5, '$' is not defined.
build/public/scripts-client.js: line 1496, col 20, '$' is not defined.
build/public/scripts-client.js: line 1498, col 25, '$' is not defined.
build/public/scripts-client.js: line 1504, col 5, '$' is not defined.
build/public/scripts-client.js: line 1505, col 5, '$' is not defined.
build/public/scripts-client.js: line 1520, col 5, '$' is not defined.
build/public/scripts-client.js: line 1528, col 18, '$' is not defined.
build/public/scripts-client.js: line 1534, col 5, '$' is not defined.
build/public/scripts-client.js: line 1546, col 20, '$' is not defined.
build/public/scripts-client.js: line 1556, col 13, '$' is not defined.
build/public/scripts-client.js: line 1558, col 13, '$' is not defined.
build/public/scripts-client.js: line 1573, col 25, '$' is not defined.
build/public/scripts-client.js: line 1578, col 11, '$' is not defined.
build/public/scripts-client.js: line 1583, col 9, '$' is not defined.
build/public/scripts-client.js: line 1587, col 5, '$' is not defined.
build/public/scripts-client.js: line 1593, col 20, '$' is not defined.
build/public/scripts-client.js: line 1594, col 22, '$' is not defined.
build/public/scripts-client.js: line 1600, col 9, '$' is not defined.
build/public/scripts-client.js: line 1601, col 9, '$' is not defined.
build/public/scripts-client.js: line 1603, col 13, '$' is not defined.
build/public/scripts-client.js: line 1604, col 11, '$' is not defined.
build/public/scripts-client.js: line 1607, col 20, '$' is not defined.
build/public/scripts-client.js: line 1608, col 49, '$' is not defined.
build/public/scripts-client.js: line 1609, col 50, '$' is not defined.
build/public/scripts-client.js: line 1619, col 1, '$' is not defined.
build/public/scripts-client.js: line 1620, col 3, '$' is not defined.
build/public/scripts-client.js: line 1627, col 3, '$' is not defined.
